long1,long2,lat1,lat2
4.89,-74.01,52.37,40.71
77.59,-74.01,12.98,40.71
19.04,-74.01,47.5,40.71
-122.59,-74.01,47.33,40.71
-71.87,-74.01,43.97,40.71
-0.13,-74.01,51.51,40.71
-0.13,-74.01,51.51,40.71
-74.01,-74.01,40.71,40.71
-1.49,-74.01,55.03,40.71
-74.01,-74.01,40.71,40.71
-75.16,-74.01,39.95,40.71
-112.07,-74.01,33.45,40.71
-122.42,-74.01,37.78,40.71
-122.42,-74.01,37.78,40.71
-122.42,-74.01,37.78,40.71
-122.33,-74.01,47.6,40.71
-79.38,-74.01,43.65,40.71
-71.68,-74.01,-14.32,40.71
-71.68,-74.01,-14.32,40.71
-77.04,-74.01,38.9,40.71
-111.76,-74.01,34.4,40.71
19.04,-74.01,47.5,40.71
-81.69,-74.01,41.5,40.71
-1.56,-74.01,53.12,40.71
-122.59,-74.01,47.33,40.71
-0.13,-74.01,51.51,40.71
-85.76,-74.01,38.25,40.71
-74.01,-74.01,40.71,40.71
-112.07,-74.01,33.45,40.71
-122.42,-74.01,37.78,40.71
-77.04,-74.01,38.9,40.71
77.59,-74.01,12.98,40.71
-1.56,-74.01,53.12,40.71
-0.13,-74.01,51.51,40.71
6.13,-74.01,49.61,40.71
-1.08,-74.01,50.8,40.71
-122.42,-74.01,37.78,40.71
-71.68,-74.01,-14.32,40.71
-71.68,-74.01,-14.32,40.71
-71.68,-74.01,-14.32,40.71
-71.68,-74.01,-14.32,40.71
-71.68,-74.01,-14.32,40.71
-71.68,-74.01,-14.32,40.71
18.0,-74.01,53.12,40.71
-63.59,-74.01,44.65,40.71
78.46,-74.01,17.39,40.71
-91.53,-74.01,41.66,40.71
49.12,-74.01,55.78,40.71
-0.13,-74.01,51.51,40.71
-0.13,-74.01,51.51,40.71
-0.13,-74.01,51.51,40.71
-0.13,-74.01,51.51,40.71
2.32,-74.01,48.86,40.71
103.82,-74.01,1.36,40.71
103.82,-74.01,1.36,40.71
103.82,-74.01,1.36,40.71
103.82,-74.01,1.36,40.71
103.82,-74.01,1.36,40.71
103.82,-74.01,1.36,40.71
-86.25,-74.01,41.68,40.71
151.21,-74.01,-33.87,40.71
139.76,-74.01,35.68,40.71
139.76,-74.01,35.68,40.71
-71.68,-74.01,-14.32,40.71
-77.04,-74.01,38.9,40.71
